STATE/UT,IPC CRIMES,SLL CRIMES,POPULATION,SLL PER LAKH,IPC PER LAKH,MURDER,HOMICIDE,HIT AND RUN,DOWRY DEATHS,ATTEMP TO COMMIT MURDER,ASSAULT ON WOMEN,KIDNAPPING AND ABDUCTION,HUMAN TRAFFICKING,RAPE,TOTAL CRIME(IPC+SLL),TOTAL CRIMES PER LAKH
Andhra Pradesh,188997,49108,91702478,54,206,888,157,552,111,1516,2543,748,42,1107,238105,26
Arunachal Pradesh,2244,259,1711947,15,131,49,4,14,0,42,62,91,3,63,2503,15
Assam,111558,10051,35998752,28,310,1139,45,897,150,1326,2507,8117,151,1658,121609,34
Bihar,194698,62814,128500364,49,152,3195,95,1385,1047,13202,402,7961,87,806,257512,20
Chhatisgarh,65216,37957,32199722,118,203,1024,41,1993,71,797,1343,2059,54,1212,103173,32
Goa,3393,973,1521992,64,223,37,3,24,0,31,28,49,24,61,4366,29
Gujarat,381849,317770,70400153,451,542,1023,248,1104,7,1097,306,1222,79,486,699619,99
Haryana,103276,89119,28900667,308,357,1165,62,654,251,1036,604,3001,12,1373,192395,67
Himachal Pradesh,14803,5827,7503010,78,197,93,10,66,1,75,234,351,0,332,20630,27
Jharkhand,51033,12537,40100376,31,127,1634,38,1621,280,2886,760,1656,121,1326,63570,16
Karnataka,106350,43730,69599762,63,153,1420,90,1096,178,3498,3610,2347,40,507,150080,22
Kerala,149099,405625,34698876,1169,430,323,108,132,6,708,2416,312,83,647,554724,160
Madhya Pradesh,283881,144165,85002417,170,334,2155,188,7401,627,2124,2884,7701,48,2341,428046,50
Maharashtra,394017,144986,124904071,116,315,2229,285,2337,197,3426,4498,8271,372,2065,539003,43
Manipur,2349,637,3436948,19,68,49,1,63,1,114,53,86,10,32,2986,9
Meghalaya,2871,891,3772103,24,76,79,6,38,1,62,50,97,0,67,3762,10
Mizoram,1787,502,1308967,38,137,28,6,35,0,14,15,3,0,33,2289,17
Nagaland,1022,489,2073074,24,49,25,6,16,1,25,3,27,0,4,1511,7
Odisha,108533,25697,47099270,55,230,1470,15,3874,320,4143,7569,4193,123,1211,134230,28
Punjab,49870,33005,30501026,108,164,882,137,1486,63,1012,358,1440,61,504,82875,27
Rajasthan,193279,67099,79502477,84,243,1745,97,1779,480,2094,6898,6371,69,5337,260378,33
Sikkim,504,171,658019,26,77,11,2,4,0,9,10,36,0,13,675,10
Tamil Nadu,891700,485981,83697770,581,1065,1741,75,653,40,2783,715,792,21,390,1377681,165
Telangana,135885,11619,38157311,30,356,827,302,1365,175,1286,2533,2338,125,765,147504,39
Tripura,4010,643,4184959,15,96,114,1,99,23,149,63,129,1,79,4653,11
Uttar Pradesh,355110,302815,231502578,131,153,3939,1479,15485,2302,4271,3852,13590,32,2796,657925,28
Uttarakhand,13812,43520,11700099,372,118,161,29,230,65,187,455,856,8,487,57332,49
West Bengal,158060,24307,100896618,24,157,1982,304,133,523,14751,1678,9453,39,1128,182367,18
Andaman and Nicobar Islands,482,2060,399001,516,121,6,1,5,0,9,2,7,2,2,2542,64
Chandigarh,2583,671,1158040,58,223,25,9,17,1,41,21,125,3,60,3254,28
D&N Haveli and Daman & Diu,441,92,773997,12,57,13,2,22,1,2,0,21,1,4,533,7
Delhi,249192,16878,19301096,87,1291,490,61,537,112,583,974,4235,214,997,266070,138
Jammu & Kashmir,25640,3694,14999397,25,171,183,34,112,9,513,1662,885,1,249,29334,20
Lakshadweep,107,40,66001,61,162,0,0,0,0,0,0,1,0,3,147,22
Puducherry,6725,1215,1646050,74,409,39,2,0,2,31,25,19,0,8,7940,48
